"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Feb 03 11:01:30 EET 2024","Sat Feb 03 11:01:59 EET 2024","29655","","Download Invoice after purchase order","","","","payment information",""
"passed","Fri Feb 02 20:46:32 EET 2024","Fri Feb 02 20:46:37 EET 2024","5687","","Search Products and Verify Cart After Login","","",""," Verify that those products are visible in cart after login as well",""
"passed","Thu Feb 01 10:13:41 EET 2024","Thu Feb 01 10:13:49 EET 2024","7709","","Place Order: Login before Checkout","","","","check from delivery information",""
"passed","Sat Jan 27 21:18:07 EET 2024","Sat Jan 27 21:18:25 EET 2024","17921","","Register User","","","","Signup New email ",""
"passed","Mon Jan 29 10:34:37 EET 2024","Mon Jan 29 10:35:06 EET 2024","29011","","Logout_User","","","","Login User with correct email and password",""
"passed","Sat Jan 27 12:54:04 EET 2024","Sat Jan 27 12:54:24 EET 2024","19529","","Register User","","","","Fill Acount Informations ",""
"passed","Wed Jan 31 22:34:10 EET 2024","Wed Jan 31 22:34:31 EET 2024","20660","","Place Order: Register while Checkout","","","","delet account ",""
"passed","Mon Jan 29 10:35:06 EET 2024","Mon Jan 29 10:35:12 EET 2024","6328","","Logout_User","","","","Logout User ",""
"passed","Sat Feb 03 10:59:47 EET 2024","Sat Feb 03 11:00:09 EET 2024","22444","","Download Invoice after purchase order","","","","add first product in cart ",""
"passed","Mon Jan 29 10:42:32 EET 2024","Mon Jan 29 10:42:57 EET 2024","24778","","Register_User_with_existing_email","","","","Signup with exist email and verify warn message  ",""
"passed","Fri Feb 02 21:36:59 EET 2024","Fri Feb 02 21:37:47 EET 2024","48037","","Add review on product","","","","Add review on product",""
"unknown","Mon Jan 29 10:30:21 EET 2024","Mon Jan 29 10:30:29 EET 2024","8138","","Login User with Incorrect email and password","","","","Login User with Incorrect email and password and vrify warn message is open",""
"passed","Thu Feb 01 10:13:22 EET 2024","Thu Feb 01 10:13:41 EET 2024","18616","","Place Order: Login before Checkout","","","","Add Product in cart",""
"passed","Wed Jan 31 12:50:42 EET 2024","Wed Jan 31 12:51:09 EET 2024","27746","","Verify Product quantity in Cart","","","","add more than one item to the product ",""
"passed","Sat Feb 03 10:34:15 EET 2024","Sat Feb 03 10:34:38 EET 2024","23483","","Verify address details in checkout page","","","","Add Product in cart",""
"passed","Mon Jan 29 10:12:46 EET 2024","Mon Jan 29 10:13:13 EET 2024","27613","","Login User with correct email and password","","","","Login User with correct email and password",""
"passed","Thu Feb 01 10:13:49 EET 2024","Thu Feb 01 10:14:16 EET 2024","26890","","Place Order: Login before Checkout","","","","payment information",""
"passed","Thu Feb 01 20:53:31 EET 2024","Thu Feb 01 20:53:52 EET 2024","20870","","Remove Products From Cart","","","","Add product to cart ",""
"passed","Wed Jan 31 22:32:32 EET 2024","Wed Jan 31 22:32:42 EET 2024","9291","","Place Order: Register while Checkout","","","","signin  after check out ",""
"unknown","Tue Jan 30 22:29:33 EET 2024","Tue Jan 30 22:29:53 EET 2024","19942","","Verify Subscription in Cart page","","","","Verify Subscription in Cart page by enter my email",""
