"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"","Hnadle Dynamic control wait to appear ","","0","0","1","0","0"
"","Forget Password","","0","0","3","0","0"
"","Entry Ad send message in view port page","","0","0","1","0","0"
"","form authentication","","0","0","1","0","0"
"","Handle Dropdown more than one way","","0","0","2","0","0"
"","Add and Remove Element","","0","0","2","0","0"
"","Geolocation ","","1","0","0","0","0"
"","Hnadle Dynamic control wait to appear click add button and remove button  ","","0","0","1","0","0"
"","forget password","","0","0","1","0","0"
"","Upload File","","0","0","1","0","0"
"","Forgot Password","","0","0","1","0","0"
"","Key Process","","0","0","2","0","0"
"","Hovers","","0","0","1","0","0"
"","user and pass: admin in alert massage","","0","3","0","0","0"
"","Ifinit Scroll","","0","0","1","0","0"
"","Notification Message","","0","0","1","0","0"
"","Horizental slider ","","0","0","6","0","0"
"","Check this button on i click on it ","","1","0","1","0","0"
"","handle floating menu","","0","0","1","0","0"
"","how to dawnload file","","0","0","1","0","0"
"","Handle Dynamic Page","","0","0","1","0","0"
"","Inputs","","0","0","1","0","0"
"","form authentacation","","0","0","2","0","0"
"","check boxes","","0","0","1","0","0"
"","Frames","","0","0","2","0","0"
""," forgot password","","0","0","1","0","0"
"","Add and Remove Element by click one time","","0","0","1","0","0"
"","Handle Dynamic loafing ","","0","0","2","0","0"
"","Handle Drag and Drop Element","","0","0","2","0","0"
"","My Login application","","0","0","1","0","0"
"","forgot password","","0","0","1","0","0"
"","context menu","","0","0","1","0","0"
