"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Jan 13 12:33:37 EET 2024","Sat Jan 13 12:33:49 EET 2024","11716","","Hnadle Dynamic control wait to appear ","","","","handle button remove",""
"passed","Tue Jan 16 15:47:59 EET 2024","Tue Jan 16 15:48:13 EET 2024","14089","","Forget Password","","","","restore password",""
"passed","Sat Jan 13 14:53:00 EET 2024","Sat Jan 13 14:53:08 EET 2024","8202","","Entry Ad send message in view port page","","","","test handle view port page",""
"passed","Tue Jan 16 16:15:59 EET 2024","Tue Jan 16 16:15:59 EET 2024","132","","form authentication","","","","log in page with email and password",""
"passed","Sat Jan 13 09:38:59 EET 2024","Sat Jan 13 09:39:05 EET 2024","6211","","Handle Dropdown more than one way","","","","select by index",""
"passed","Fri Jan 12 20:38:27 EET 2024","Fri Jan 12 20:38:42 EET 2024","15197","","Add and Remove Element","","","","when i click more than one time",""
"failed","Wed Jan 17 16:50:59 EET 2024","Wed Jan 17 16:51:19 EET 2024","19651","","Geolocation ","","","","how to find yoirself by ip ",""
"passed","Sat Jan 13 12:45:07 EET 2024","Sat Jan 13 12:45:19 EET 2024","11726","","Hnadle Dynamic control wait to appear click add button and remove button  ","","","","Handle wait on click on enable and disable button",""
"passed","Mon Jan 15 08:27:26 EET 2024","Mon Jan 15 08:27:26 EET 2024","14","","forget password","","","","can restore mypage when forget password",""
"passed","Mon Jan 15 15:20:33 EET 2024","Mon Jan 15 15:20:42 EET 2024","8786","","Upload File","","","","Upload file dirctly",""
"passed","Mon Jan 15 08:35:20 EET 2024","Mon Jan 15 08:35:21 EET 2024","54","","Forgot Password","","","","can restore my page when forget password",""
"passed","Sun Jan 21 22:17:43 EET 2024","Sun Jan 21 22:17:47 EET 2024","4258","","Key Process","","","","Test if give text display last char ",""
"passed","Thu Jan 18 12:47:09 EET 2024","Thu Jan 18 12:47:22 EET 2024","12641","","Hovers","","","","Try handle when i hover in image his properties appear",""
"broken","Fri Jan 12 21:33:45 EET 2024","Fri Jan 12 21:33:47 EET 2024","1681","","user and pass: admin in alert massage","","","","type tow input in alert message never complete ",""
"passed","Thu Jan 18 13:47:40 EET 2024","Thu Jan 18 13:47:55 EET 2024","14511","","Ifinit Scroll","","","","how i test when i scroll to end of page anew document addes",""
"passed","Tue Jan 23 13:39:20 EET 2024","Tue Jan 23 13:39:25 EET 2024","4758","","Notification Message","","","","Test message notification will appear when click on button ",""
"passed","Thu Jan 18 12:32:31 EET 2024","Thu Jan 18 12:32:39 EET 2024","7940","","Horizental slider ","","","","try to handle horezental slider by mouse drag and drop",""
"passed","Mon Jan 15 15:11:53 EET 2024","Mon Jan 15 15:11:53 EET 2024","25","","Forget Password","","",""," restor my password",""
"failed","Sat Jan 13 09:17:23 EET 2024","Sat Jan 13 09:17:41 EET 2024","17721","","Check this button on i click on it ","","","","Check if element disapear or appear on i click again",""
"passed","Thu Jan 18 12:23:32 EET 2024","Thu Jan 18 12:23:40 EET 2024","7991","","Horizental slider ","","","","try to handle horezental slider by mouse with click",""
"passed","Sat Jan 13 16:09:49 EET 2024","Sat Jan 13 16:09:58 EET 2024","9792","","handle floating menu","","","","Handle floating menu by Scroll into last page",""
"broken","Fri Jan 12 21:01:57 EET 2024","Fri Jan 12 21:02:02 EET 2024","4301","","user and pass: admin in alert massage","","","","",""
"passed","Sat Jan 13 15:33:06 EET 2024","Sat Jan 13 15:33:12 EET 2024","6537","","how to dawnload file","","","","",""
"passed","Sat Jan 13 10:43:16 EET 2024","Sat Jan 13 10:43:24 EET 2024","8148","","Handle Dynamic Page","","","","Handle by compare initial content not equal new content ",""
"passed","Thu Jan 18 14:49:31 EET 2024","Thu Jan 18 14:49:45 EET 2024","14377","","Inputs","","","","try to handle input number not valid Characters",""
"passed","Mon Jan 15 15:18:04 EET 2024","Mon Jan 15 15:18:04 EET 2024","92","","Forget Password","","","","restore my password",""
"passed","Thu Jan 18 12:06:51 EET 2024","Thu Jan 18 12:06:59 EET 2024","7960","","Horizental slider ","","","","try to handle horezental slider by mouse",""
"passed","Thu Jan 18 12:01:36 EET 2024","Thu Jan 18 12:01:44 EET 2024","7676","","Horizental slider ","","","","try to handle horezental slider by set value",""
"passed","Tue Jan 16 16:07:59 EET 2024","Tue Jan 16 16:08:07 EET 2024","7816","","form authentacation","","","","log in page with email and password",""
"passed","Fri Jan 12 21:44:42 EET 2024","Fri Jan 12 21:44:46 EET 2024","3647","","check boxes","","","","check right in check boxes",""
"passed","Fri Jan 12 20:28:33 EET 2024","Fri Jan 12 20:28:47 EET 2024","13788","","Add and Remove Element","","","","test add element",""
"passed","Tue Jan 16 20:17:20 EET 2024","Tue Jan 16 20:17:28 EET 2024","8153","","Frames","","",""," use iframes to write in web page",""
"passed","Sun Jan 21 22:09:40 EET 2024","Sun Jan 21 22:09:45 EET 2024","4274","","Key Process","","","","Test if Give any charachter in input will display on screen ",""
"passed","Sat Jan 13 09:35:12 EET 2024","Sat Jan 13 09:35:20 EET 2024","8425","","Handle Dropdown more than one way","","","","Hadle by Visiable Text",""
"passed","Mon Jan 15 08:47:35 EET 2024","Mon Jan 15 08:47:39 EET 2024","4459",""," forgot password","","","","can restore my page when forget password",""
"passed","Tue Jan 23 23:13:14 EET 2024","Tue Jan 23 23:13:26 EET 2024","12251","","Add and Remove Element by click one time","","","","when i click more than one time",""
"passed","Sat Jan 13 13:43:14 EET 2024","Sat Jan 13 13:43:26 EET 2024","12293","","Handle Dynamic loafing ","","","","element page render it when click",""
"passed","Wed Jan 24 09:03:02 EET 2024","Wed Jan 24 09:03:10 EET 2024","8046","","form authentacation","","","","log in page with email and password",""
"passed","Sat Jan 13 13:25:35 EET 2024","Sat Jan 13 13:25:47 EET 2024","12242","","Handle Dynamic loafing ","","","","hidden element will appear ",""
"passed","Sat Jan 13 09:32:49 EET 2024","Sat Jan 13 09:33:09 EET 2024","19420","","Handle Drag and Drop Element","","",""," drag and drop more than one time",""
"passed","Sat Jan 13 09:08:28 EET 2024","Sat Jan 13 09:08:40 EET 2024","12103","","Check this button on i click on it ","","","","Home Button ",""
"passed","Thu Jan 18 12:20:32 EET 2024","Thu Jan 18 12:20:40 EET 2024","7885","","Horizental slider ","","","","try to handle horezental slider by  arrow key",""
"passed","Mon Jan 15 08:11:29 EET 2024","Mon Jan 15 08:11:35 EET 2024","5633","","My Login application","","","","should login with valid credentials",""
"passed","Wed Jan 17 21:41:55 EET 2024","Wed Jan 17 21:42:17 EET 2024","21844","","Horizental slider ","","","","try to handle horezental slider by drag and drop",""
"broken","Fri Jan 12 21:10:28 EET 2024","Fri Jan 12 21:10:29 EET 2024","1672","","user and pass: admin in alert massage","","","","type tow input in alert message ",""
"passed","Mon Jan 15 09:07:10 EET 2024","Mon Jan 15 09:07:10 EET 2024","31","","forgot password","","","","can restore my page when forget password",""
"passed","Fri Jan 12 21:36:11 EET 2024","Fri Jan 12 21:36:21 EET 2024","9710","","context menu","","",""," try right click in context menu",""
"passed","Sat Jan 13 09:26:19 EET 2024","Sat Jan 13 09:26:39 EET 2024","19570","","Handle Drag and Drop Element","","","","try first drag and drop",""
"passed","Wed Jan 17 15:38:40 EET 2024","Wed Jan 17 15:38:57 EET 2024","17091","","Frames","","",""," use iframes to write in web page",""
